"","total","mean.org.tot","density_spruce","burn.depth","grid"
"1",0.368421053,18.975,0,12.50915333,"ET"
"2",0.266666667,20.5,0,9.08541,"ET"
"3",0.25,13.75,0,11.17082,"ET"
"5",0.444444444,18.125,0,10.65532228,"ET"
"6",0.318181818,8.55,0,8.908743333,"ET"
"7",0.266666667,16.625,0,7.552486667,"ET"
"8",0.285714286,14.175,0,13.71415333,"ET"
"9",0.4375,22,0,5.347486667,"ET"
"10",0.333333333,22.725,0,12.37082,"ET"
"11",0.411764706,17.7,0,14.97124333,"ET"
"12",0.35,10.35,0,8.62241,"ET"
"13",0.25,17.65,0,12.46415333,"ET"
"14",0.214285714,16.15,0,15.53304222,"ET"
"15",0.36,9.675,0.099522293,5.619897179,"ET"
"16",0.409090909,12,0.004976115,7.41582,"ET"
"17",0.181818182,32,0.024880573,6.754425152,"ET"
"18",0.333333333,25.375,0.129378981,6.671813509,"ET"
"19",0.473684211,10.75,0.004976115,7.83082,"ET"
"20",0.3,33.575,0.079617834,5.36168193,"ET"
"21",0.47826087,18,0.019904459,7.323317801,"ET"
"22",0.363636364,26.025,0,14.34707667,"ET"
"23",0.375,24.8,0,7.084153333,"ET"
"24",0.333333333,25.8,0,6.83582,"ET"
"25",0.421052632,24.925,0,9.85993381,"ET"
"26",0.25,10.725,0,13.42074333,"WC"
"27",0.4,16,0,10.3775,"WC"
"28",0.375,4.375,0.07464172,13.99959239,"WC"
"29",0.214285714,21.85,0.009952229,13.25846556,"WC"
"30",0.266666667,14.75,0.019904459,13.02308544,"WC"
"31",0.315789474,12.45,0.044785032,15.11231476,"WC"
"32",0.238095238,3.85,0,14.35082,"WC"
"33",0.444444444,8,0,13.68124333,"WC"
"34",0.363636364,6.375,0.044785032,10.94041,"WC"
"35",0.476190476,8.875,0.029856688,11.11457667,"WC"
"36",0.4,8.5,0.228901274,19.68777778,"WC"
"37",0.277777778,30,0,7.320965556,"WC"
"39",0.454545455,7.125,0.204020701,11.96300887,"WC"
"40",0.458333333,11.25,0.189092357,15.21083333,"WC"
"41",0.36,9.85,0.024880573,13.86111111,"WC"
"42",0.133333333,35.125,0.084593949,8.176773636,"WC"
"43",0.35,5.875,0.009952229,10.10153846,"WC"
"44",0.210526316,37.75,0,-0.78418,"WC"
"45",0.363636364,18.275,0.029856688,14.92596556,"WC"
"46",0.277777778,28.525,0,2.08582,"WC"
"47",0.222222222,4.625,0.094546178,12.27463619,"WC"
"48",0.466666667,8.425,0.069665605,16.67813559,"WC"
